Digital image name	Thumbnail Type
BL85_OR8212-1330-14-R01	Recto
BL85_OR8212-1330-15-R01	Recto
BL85_OR8212-1330-16-R01	Recto
BL85_OR8212-1330-17-R01	Recto
BL85_OR8212-1330-18-R01	Recto
BL85_OR8212-1330-19-R01	Recto
BL85_OR8212-1330-17-V01	Verso
BL85_OR8212-1330-18-V01	Verso
BL85_OR8212-1330-19-V01	Verso
BL85_OR8212-1330-2-R01	Recto
BL85_OR8212-1330-20-R01	Recto
BL85_OR8212-1330-21-R01	Recto
BL85_OR8212-1330-22-R01	Recto
BL85_OR8212-1330-23-R01	Recto
BL85_OR8212-1330-24-R01	Recto
BL85_OR8212-1330-25-R01	Recto
BL85_OR8212-1330-26-R01	Recto
BL85_OR8212-1330-25-V01	Verso
BL85_OR8212-1330-3-R01	Recto
BL85_OR8212-1330-3-V01	Recto
BL85_OR8212-1330-4-R01	Recto
BL85_OR8212-1330-5-R01	Recto
BL85_OR8212-1330-6-R01	Recto
BL85_OR8212-1330-7-R01	Recto
BL85_OR8212-1330-8-R01	Recto
BL85_OR8212-1330-9-R01	Recto
BL85_OR8212-1334-R01	Recto
BL85_OR8212-1338-R01	Recto
BL92_OR8212-587-R01	Recto
BL92_OR8212-686-R01	Recto
BL92_OR8212-687-R01	Recto
BL92_OR8212-696-a3-R01	Recto
BL99_OR8212-919-54-R01	Recto
BL99_OR8212-919-56-R01	Recto
BL99_OR8212-919-67-R01	Recto
BL99_OR8212-919-70-R01	Recto
