UUID	Linked_Image_URL	Linked_Image_Thumbnail_URL
A7353390D51E49CEBADF331AA2C85CFA	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067367/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067367/image.jpg
4405A540743D4BDAA53D419585FD5D51	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067377/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067377/image.jpg
335FB2E5981843C8B0530E1EDDF4CF61	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067384/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067384/image.jpg
4FF176145DCC4992B797F7EE730A1C10	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067388/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067388/image.jpg
01B6FA1A1DFB4963A84CBA9B1BF9896C	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067392/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067392/image.jpg
4DF5C8FCD2DB4BD9849D52BEDA707844	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067404/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067404/image.jpg
1D0F70B27E184E849D5F68C1823D7B66	http://collections.smvk.se/carlotta-em/web/image/zoom/2067410/null	http://collections.smvk.se/carlotta-em/web/image/tn/2067411/null
CD7070DFAEFE4A1EADF3137C96F11AD3	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067408/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067408/image.jpg
F6574B3F77814D72970A284C77EDAD7D	http://collections.smvk.se/carlotta-em/web/image/zoom/2067406/null	http://collections.smvk.se/carlotta-em/web/image/tn/2067407/null
7E332C1768074772A4E0698BF92F0D26	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067412/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067412/image.jpg
6CC59BA49E0842E1AC93840DE6387865	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067419/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067419/image.jpg
FD4D0AEAB019455FA8E710E85C436965	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067423/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067423/image.jpg
6A0CC9FCEFCB4C2487854943AF436C81	http://collections.smvk.se/carlotta-em/web/image/zoom/2070533/null	http://collections.smvk.se/carlotta-em/web/image/tn/2070534/null
038570638B934D139F4EFF4DAC5AF764	http://collections.smvk.se/carlotta-em/web/image/zoom/2067430/null	http://collections.smvk.se/carlotta-em/web/image/tn/2067431/null
4F09F51C304C4260B0FBD051FD0D36E5	http://collections.smvk.se/carlotta-em/web/image/*zoom/2067434/image.jpg	http://collections.smvk.se/carlotta-em/web/image/*tn/2067434/image.jpg
