UUID	Linked_Image_URL	Linked_Image_Thumbnail_URL
754D603BC8A44A6B96A0B0559555D2AE	http://collections.smvk.se/carlotta-em/web/image/zoom/1230878/1935.52.0033.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230879/1935.52.0033.jpg
00816CAF417A4B99B7218501BC582673	http://collections.smvk.se/carlotta-em/web/image/zoom/1230878/1935.52.0033.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230879/1935.52.0033.jpg
86BC4D9E2C934A87895466FD287BC75E	http://collections.smvk.se/carlotta-em/web/image/zoom/1231025/1935.52.0033_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231026/1935.52.0033_bak.jpg
0663F6CC5A1B42CAB37B6C971F78D2E8	http://collections.smvk.se/carlotta-em/web/image/zoom/1231025/1935.52.0033_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231026/1935.52.0033_bak.jpg
F6441ADF294A43818D7D82504C331EC8	http://collections.smvk.se/carlotta-em/web/image/zoom/1230914/1935.52.0034_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230915/1935.52.0034_bak.jpg
B690FD796FC743E2894B110F235BEDBE	http://collections.smvk.se/carlotta-em/web/image/zoom/1230914/1935.52.0034_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230915/1935.52.0034_bak.jpg
54F8D777BC6B42D6A31427F24AE656DD	http://collections.smvk.se/carlotta-em/web/image/zoom/1231067/1935.52.0034.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231068/1935.52.0034.jpg
97F436F861E54054BCD46A1F41BA2979	http://collections.smvk.se/carlotta-em/web/image/zoom/1231067/1935.52.0034.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231068/1935.52.0034.jpg
D34FAF1489404A6EAEBFF6C4FD2A8DE1	http://collections.smvk.se/carlotta-em/web/image/zoom/1230975/1935.52.0035.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230976/1935.52.0035.jpg
75E26C24B8B34C7A80AC2553AB4BCD03	http://collections.smvk.se/carlotta-em/web/image/zoom/1230975/1935.52.0035.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230976/1935.52.0035.jpg
BFBF8A37A3CF45A4A9770A7FFB78ECE6	http://collections.smvk.se/carlotta-em/web/image/zoom/1231097/1935.52.0035_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231098/1935.52.0035_bak.jpg
C2F82E901A3947988C73FA5320F266DA	http://collections.smvk.se/carlotta-em/web/image/zoom/1231097/1935.52.0035_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231098/1935.52.0035_bak.jpg
606A1F4414A6408B8CCDC6245B414DF3	http://collections.smvk.se/carlotta-em/web/image/zoom/1230862/1935.52.0036.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230863/1935.52.0036.jpg
42B85EE65698488D9C8A11531982853A	http://collections.smvk.se/carlotta-em/web/image/zoom/1230862/1935.52.0036.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230863/1935.52.0036.jpg
6EC37EDBB99844ECAF04511B5915BB47	http://collections.smvk.se/carlotta-em/web/image/zoom/1231013/1935.52.0036_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231014/1935.52.0036_bak.jpg
264981B39C0E4A2BB907078EA11B6F02	http://collections.smvk.se/carlotta-em/web/image/zoom/1231013/1935.52.0036_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231014/1935.52.0036_bak.jpg
568A0EB0E7574E2585AF7A08E8C8045A	http://collections.smvk.se/carlotta-em/web/image/zoom/1230898/1935.52.0037_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230899/1935.52.0037_bak.jpg
151659530F714B1B8A96913D9D98B7AD	http://collections.smvk.se/carlotta-em/web/image/zoom/1230898/1935.52.0037_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230899/1935.52.0037_bak.jpg
D498B7E836024CD4B5C9A95849494072	http://collections.smvk.se/carlotta-em/web/image/zoom/1231055/1935.52.0037.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231056/1935.52.0037.jpg
CD55F6BA1268434C9FEE27887918363A	http://collections.smvk.se/carlotta-em/web/image/zoom/1231055/1935.52.0037.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231056/1935.52.0037.jpg
D7DBF023527742BAA20CF28299ACAA5E	http://collections.smvk.se/carlotta-em/web/image/zoom/1230959/1935.52.0038.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230960/1935.52.0038.jpg
FC8AE6802C19420A8E90D3B32AB16B0D	http://collections.smvk.se/carlotta-em/web/image/zoom/1230959/1935.52.0038.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230960/1935.52.0038.jpg
2A6356C569174428BEA7534A0EB20C88	http://collections.smvk.se/carlotta-em/web/image/zoom/1231043/1935.52.0038_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231044/1935.52.0038_bak.jpg
FE6EB1E656E34C36AD821E9C6DEFA396	http://collections.smvk.se/carlotta-em/web/image/zoom/1231043/1935.52.0038_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1231044/1935.52.0038_bak.jpg
E3F6EAD4539D49FDBE4B8F7E83C2E5B9	http://collections.smvk.se/carlotta-em/web/image/zoom/1230945/1935.52.0039_bak.jpg	http://collections.smvk.se/carlotta-em/web/image/tn/1230946/1935.52.0039_bak.jpg
